player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Charlie Woerner,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,24.47,35.5,230.88,1.66,44.94,38,263,
Michael Mayer,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,23.8,33.84,230.14,1.28,42.25,39,270,
Jeremy Ruckert,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,24.64,36.2,208.78,1.51,41.92,40,271,
Noah Gray,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.09,27.81,219.94,1.36,40.14,41,275,
Ja'Tavion Sanders,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,21.88,32.51,213.93,0.94,37.63,42,278,
Payne Durham,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,19.88,27.22,184.33,1.45,36.73,43,279,
Pharaoh Brown,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.97,29.17,188.04,1.21,36.21,44,281,
Daniel Bellinger,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.64,30.02,202.33,0.99,36.15,45,282,
Quintin Morris,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,18.55,27.77,176.09,1.07,32.96,46,292,
Adam Trautman,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,15.69,23.01,166.82,1.28,31.87,47,295,
Foster Moreau,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,14.92,21.81,158,1.09,29.46,48,300,
Luke Musgrave,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,14.86,21.97,144.99,1.19,29.07,49,301,
Cade Stover,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,16.06,23.27,147.2,1,28.41,50,303,
Josh Whyle,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,15.51,21.38,146.12,0.82,27.11,51,305,
Luke Schoonmaker,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,16.23,24.06,141.06,0.87,27.1,52,306,
Grant Calcaterra,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,14.16,20.01,146.32,0.88,26.65,53,309,
Kenny Yeboah,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,11.97,17.61,120.97,1,24.08,54,317,
Tommy Tremble,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,13.98,21.67,129.83,0.64,23.47,55,318,
Josh Oliver,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,12.61,18.95,114.69,1,23.43,56,320,
Ben Sinnott,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,12.32,16.49,112.87,0.86,22.59,57,324,
Drew Sample,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,9.57,13.04,71.95,0.6,15.58,58,341,
Tre' McKitty,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.35,11.83,82.86,0.41,14.92,59,344,
Davis Allen,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.27,11.66,76.12,0.45,14.45,60,346,
Eric Saubert,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.74,11.37,71.04,0.51,14.03,61,348,
Darnell Washington,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.5,10.95,72.09,0.49,13.9,62,349,
Irv Smith Jr.,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.04,11.63,67.61,0.53,13.72,63,350,
Jaheim Bell,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.37,10.66,73.93,0.39,13.42,64,354,
Ian Thomas,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.61,11.29,70.78,0.4,13.28,65,355,
Greg Dulcich,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7,10.92,73.75,0.36,13.04,66,358,
Kylen Granson,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.74,9.98,71.04,0.4,12.87,67,360,
Dominique Dafney,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.22,10.85,70.78,0.34,12.73,68,361,
Connor Heyward,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,5.58,8.2,51.5,0.36,10.1,69,371,
Hunter Long,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,5.58,8.32,52.43,0.34,10.07,70,373,
Tanner Hudson,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.66,6.52,42.4,0.34,8.61,71,379,
Cam Grandy,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.7,6.52,41.88,0.34,8.58,72,380,
Erick All Jr.,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.72,6.52,41.67,0.34,8.57,73,381,
Devin Culp,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.29,5.91,40.61,0.34,8.25,74,385,
Tucker Fisk,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.93,5.7,38.03,0.33,7.75,75,390,
Zach Davidson,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.77,5.54,38.23,0.34,7.75,75,390,
Elijah Higgins,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.09,5.65,38.89,0.29,7.67,77,392,
Luke Farrell,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.75,5.51,36.71,0.29,7.29,78,393,
Durham Smythe,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.87,5.64,36.81,0.17,6.64,79,400,
James Mitchell,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.66,5.4,35.65,0.17,6.42,80,405,
Mo Alie-Cox,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.48,5.37,34.79,0.18,6.3,81,407,
Andrew Ogletree,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.61,5.37,33.37,0.17,6.16,82,408,
Brevyn Spann-Ford,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,2.05,3.01,18.22,0.17,3.87,83,415,
Will Mallory,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,1.83,2.67,16.18,0.17,3.55,84,418,
Chris Manhertz,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,85,422,
