player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Jimmy Garoppolo,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Jameis Winston,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Marcus Mariota,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Jacoby Brissett,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Mitchell Trubisky,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Cooper Rush,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Taylor Heinicke,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Joshua Dobbs,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Nick Mullens,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Kyle Allen,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Drew Lock,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Gardner Minshew,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Jarrett Stidham,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Tim Boyle,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Brandon Allen,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Will Grier,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Brett Rypien,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Easton Stick,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
John Wolford,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Mac Jones,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Zach Wilson,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Trey Lance,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Sam Ehlinger,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Kenny Pickett,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Malik Willis,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Bailey Zappe,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Skylar Thompson,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Sam Howell,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Sean Clifford,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Jake Browning,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Aidan O'Connell,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Dorian Thompson-Robinson,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Tyson Bagent,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Clayton Tune,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Tommy DeVito,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Jake Haener,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Spencer Rattler,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Hendon Hooker,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Tanner McKee,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Joe Milton III,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Jaxson Dart,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
Shedeur Sanders,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,39,422,
