player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Tyler Badie,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Zach Evans,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Evan Hull,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Chris Brooks,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Brady Russell,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Tyler Goodson,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Dylan Laube,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
British Brooks,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Sione Vaki,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Chris Collier,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Blake Watson,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
D.J. Williams,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Dante Miller,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Rasheen Ali,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
George Holani,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Cody Schrader,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
Quinshon Judkins,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,126,422,
