player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Tucker Kraft,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,44.63,65.91,538.72,3.83,98.89,14,156,
Isaiah Likely,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,45.19,65.13,499.74,4.39,98.79,15,157,
Cade Otton,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,52.36,74.92,497.76,3.85,98.34,16,158,
Zach Ertz,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,52.58,74.21,466.47,4.03,97.12,17,160,
Mike Gesicki,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,52.86,78.27,478.92,3.58,95.8,18,163,
Brenton Strange,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,51.95,77.77,509.32,2.9,93.97,19,165,
Dallas Goedert,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,46.74,65.01,503.32,2.97,90.72,20,172,
Dalton Schultz,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,45.41,69.82,444.98,3.15,86.04,21,179,
Tyler Conklin,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,45.09,68.08,430.65,3.25,84.77,22,183,
Hunter Henry,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,42.31,64.02,437.8,2.85,81.88,23,191,
Chigoziem Okonkwo,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,46.21,64.1,449.43,2.29,81.27,24,192,
Will Dissly,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,41.04,56.73,416.44,3.16,80.78,25,193,
Darren Waller,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,39.76,58.36,406.35,2.33,74.16,26,198,
Mason Taylor,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,41.96,61.01,378.71,2.65,74.09,27,199,
Tyler Higbee,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,41.69,61.2,386.42,2.37,73.37,28,204,
AJ Barner,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,39.48,56.94,368.38,2.62,71.96,29,208,
Jonnu Smith,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,36.94,54.7,362.53,2.7,70.24,30,212,
Cole Kmet,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,39.27,56.32,374.37,2.25,70.21,31,213,
Pat Freiermuth,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,37.32,54.7,364.28,2.54,69.65,32,217,
Colston Loveland,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,38.32,56.32,373.69,2.17,69.21,33,218,
Juwan Johnson,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,35.59,54.55,338.01,2.7,67.38,34,220,
Theo Johnson,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,35.93,54.61,385.12,1.78,66.82,35,221,
Dawson Knox,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,27.57,44.3,311.41,2.66,60.55,36,229,
Austin Hooper,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,24.98,37.34,262.04,1.43,46.93,37,257,
Charlie Woerner,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,24.47,35.51,230.95,1.66,44.95,38,263,
Michael Mayer,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,23.8,33.84,230.14,1.28,42.25,39,270,
Jeremy Ruckert,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,24.04,35.29,203.44,1.47,40.84,40,272,
Noah Gray,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.09,27.81,219.94,1.36,40.14,41,275,
Ja'Tavion Sanders,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,21.89,32.51,213.96,0.94,37.64,42,278,
Payne Durham,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,19.86,27.22,184.09,1.43,36.58,43,279,
Pharaoh Brown,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.97,29.17,188.06,1.21,36.21,44,281,
Daniel Bellinger,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.64,30.02,202.33,0.99,36.15,45,282,
Quintin Morris,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,18.55,27.77,176.12,1.07,32.97,46,292,
Adam Trautman,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,15.69,23.01,166.82,1.28,31.87,47,295,
Foster Moreau,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,14.94,21.81,158.06,1.09,29.48,48,300,
Luke Musgrave,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,14.86,21.97,145.01,1.19,29.07,49,301,
Cade Stover,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,16.08,23.27,147.23,1,28.42,50,303,
Josh Whyle,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,15.51,21.38,146.14,0.82,27.11,51,305,
Luke Schoonmaker,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,16.23,24.07,141.09,0.87,27.1,52,306,
Grant Calcaterra,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,14.16,20.01,146.32,0.88,26.65,53,309,
Kenny Yeboah,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,11.97,17.61,120.98,1,24.08,54,317,
Tommy Tremble,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,13.98,21.68,129.85,0.64,23.47,55,318,
Josh Oliver,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,12.61,18.95,114.69,1,23.43,56,320,
Ben Sinnott,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,12.32,16.49,112.87,0.86,22.59,57,324,
Drew Sample,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,9.57,13.04,71.97,0.6,15.58,58,341,
Tre' McKitty,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.35,11.83,82.86,0.41,14.92,59,344,
Davis Allen,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.28,11.66,76.14,0.45,14.45,60,346,
